"pair_ID_year","pair_ID","female_CORT","female_CORT_year","male_CORT","male_CORT_year","same_diff","year_diff","year","female_ID","male_ID","year_paired","years_together","pbvid_mean","CORT_diff","site","male_body_cond","female_body_cond","female_CORT_resid","male_CORT_resid","female_CORT_z","male_CORT_z","female_body_cond_z","male_body_cond_z","female_CORT_log","male_CORT_log"
"J5126 J5496_2023","J5126 J5496",4.26,2023,4.43,2023,"same",0,23,"J5126","J5496",NA,NA,NA,-0.17,"X",17.9190545150956,-19.5690397342453,-0.0651296071542478,-0.332564526697213,0.31129262736441,0.908443761093633,-0.875023140265401,0.732645357544957,1.44926916028128,1.48839958405704
"J572 J257_201516","J572 J257",5.12,2015,3.24,2016,"diff",1,15.5,"J572","J257",NA,NA,0.00581891427,1.88,"Z",21.0120040324411,-9.69655135489628,0.529842418819094,0.141854486480633,0.892277382491133,-0.103000948414038,-0.342240321400011,0.949132517949273,1.63315443905142,1.17557332980424
"J572 J257_201819","J572 J257",2.21,2018,2.97,2019,"diff",1,18.5,"J572","J257",NA,NA,0.00581891427,-0.76,"Z",21.0120040324411,-9.69655135489628,-2.38015758118091,-0.128145513519368,-1.0736128935772,-0.332488403512418,-0.342240321400011,0.949132517949273,0.792992515529661,1.08856195281461
"J692 J899_2018","J692 J899",3.37,2018,3.6,2018,"same",0,18,"J692","J899",16,2,0.1545230857,-0.23,"Z",3.35327146341752,-17.2076977485056,-1.28858145418112,-0.00646888669998152,-0.289959037824873,0.202982325050467,-0.747589975380728,-0.286868538249049,1.21491274436427,1.28093384546206
"J792 J5503_2023","J792 J5503",3.39,2023,2.45,2023,"same",0,23,"J792","J5503",23,0,NA,0.94,"Y",25.4528986896009,-19.2902326104584,0.0522376912954329,-0.0421212479104036,-0.276447764449833,-0.774464242961148,-0.859976918925533,1.25996742443308,1.22082992139236,0.896088024556636
"J793 J1352_201718","J793 J1352",5.37,2018,4.71,2017,"diff",1,17.5,"J793","J1352",NA,NA,0.0832618606,0.66,"Y",-2.73892790210031,2.29192947767781,2.2288435142155,1.40635027272666,1.06116829967913,1.14643075156603,0.304735027312798,-0.713284467077351,1.68082790852077,1.54968790802833
"J793 J1352_2019","J793 J1352",2.45,2019,2.53,2019,"same",0,19,"J793","J1352",NA,NA,0.0832618606,-0.0799999999999996,"Y",-2.73892790210031,2.29192947767781,-0.691156485784496,-0.773649727273343,-0.911477613076716,-0.706467959969036,0.304735027312798,-0.713284467077351,0.896088024556636,0.928219302739429
"J908 J587_2019","J908 J587",4.19,2019,3.3,2019,"same",0,19,"J908","J587",NA,NA,0.01169799116,0.890000000000001,"Z",7.67297324436424,-10.5076977485056,-0.40754683641738,-0.182122172016904,0.26400317055177,-0.0520037361699544,-0.386014985445569,0.0154836233708456,1.43270073393405,1.19392246847243
"J912 J1360_2019","J912 J1360",5.18,2019,3.07,2019,"same",0,19,"J912","J1360",NA,NA,0.08057138889,2.11,"Z",1.57148214909791,-48.8857593246594,0.232842668237272,-0.587759382833374,0.932811202616252,-0.247493049772277,-2.45714143740508,-0.411582668542019,1.64480505627139,1.12167756159911
"J990 J909_2020","J990 J909",3.61,2020,4.51,2020,"same",0,20,"J990","J909",NA,NA,0.0009243398435,-0.9,"Z",26.6737187919974,20.6517803681512,-0.703695069765475,1.57483231817466,-0.127823757324392,0.976440044085745,1.29555038566115,1.34541721139215,1.28370777234479,1.50629715351459
"J990 J909_2023","J990 J909",2.02,2023,1.89,2023,"same",0,23,"J990","J909",NA,NA,0.0009243398435,0.13,"Z",26.6737187919974,20.6517803681512,-2.29369506976547,-1.04516768182534,-1.20196999064008,-1.25043822390593,1.29555038566115,1.34541721139215,0.703097511413113,0.636576829071551
